~id,~label,namus_number:String,first_name:String,middle_name:String,last_name:String,sex:String,race:String,age_min:String,age_max:String,date_missing:String,date_found:String,city:String,county:String,state:String,country:String,latitude:String,longitude:String,height_in:String,weight_lb:String,circumstances:String,link:String,MEC_Case:String,Date_Modified:String,source_file:String
UP_UP100,UnidentifiedPerson,UP100,,,,F,Other,2.0,3.0,,1989-08-08,Glasgow,Barren,KENTUCKY,,,,,,,,ME/C Case 89F-37; ME89-656,09/17/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP10002,UnidentifiedPerson,UP10002,,,,M,White / Caucasian,55.0,75.0,,2008-07-24,Stickney Township,Cook,ILLINOIS,,,,,,,,ME/C Case 356 JUL 08,01/14/2025,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10004,UnidentifiedPerson,UP10004,,,,F,Asian,15.0,40.0,,2012-02-12,Danby,Rutland,VERMONT,,,,,,,,ME/C Case 12C100787,09/04/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100068,UnidentifiedPerson,UP100068,,,,M,White / Caucasian,,,,2005-11-29,Cairo,Alexander,ILLINOIS,,,,,,,,ME/C Case 05-19764 MR (ISP Case number),05/03/2024,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10008,UnidentifiedPerson,UP10008,,,,M,Hispanic / Latino,45.0,70.0,,2011-10-17,Hawthorne,Los Angeles,CALIFORNIA,,,,,,,,ME/C Case 2011-06819,06/04/2022,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP1001,UnidentifiedPerson,UP1001,,,,M,White / Caucasian,25.0,40.0,,1975-04-24,Greensboro,Guilford,NORTH CAROLINA,,,,,,,,ME/C Case 75-239,06/22/2023,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10011,UnidentifiedPerson,UP10011,,,,F,Black / African American,70.0,99.0,,1988-01-08,Los Angeles,Los Angeles,CALIFORNIA,,,,,,,,ME/C Case 2011-08342,04/18/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100110,UnidentifiedPerson,UP100110,,,,M,Uncertain,23.0,57.0,,2022-09-27,,Pima,ARIZONA,,,,,,,,ME/C Case 22-3541,03/07/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100115,UnidentifiedPerson,UP100115,,,,M,"Hispanic / Latino, Other",35.0,60.0,,2022-12-18,Baboquivari,Pima,ARIZONA,,,,,,,,ME/C Case 22-4665,02/16/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10014,UnidentifiedPerson,UP10014,,,,F,White / Caucasian,35.0,45.0,,1991-12-31,Woodstock,Ulster,NEW YORK,,,,,,,,ME/C Case 92-004,02/27/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100140,UnidentifiedPerson,UP100140,,,,M,Black / African American,20.0,40.0,,2023-02-07,Sausalito,Marin,CALIFORNIA,,,,,,,,ME/C Case CR23-038,02/10/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10015,UnidentifiedPerson,UP10015,,,,M,Uncertain,18.0,99.0,,1997-04-20,,St. Louis,MISSOURI,,,,,,,,ME/C Case 1997-1449,09/17/2024,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100158,UnidentifiedPerson,UP100158,,,,M,Black / African American,,,,2021-06-21,Atlanta,Fulton,GEORGIA,,,,,,,,ME/C Case 2021-1453,02/12/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100162,UnidentifiedPerson,UP100162,,,,F,Black / African American,40.0,50.0,,1972-11-17,Flowery Branch,Gwinnett,GEORGIA,,,,,,,,ME/C Case 44-003445,02/12/2023,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100163,UnidentifiedPerson,UP100163,,,,F,Black / African American,15.0,25.0,,1975-05-20,Stone Mountain,Gwinnett,GEORGIA,,,,,,,,ME/C Case 44-6350,03/21/2023,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100164,UnidentifiedPerson,UP100164,,,,F,Black / African American,20.0,30.0,,1981-08-11,Duluth,Gwinnett,GEORGIA,,,,,,,,ME/C Case 44-16052,05/08/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100175,UnidentifiedPerson,UP100175,,,,M,Hispanic / Latino,,,,2010-01-06,Sarita,Kenedy,TEXAS,,,,,,,,ME/C Case 10-042SC,02/13/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100176,UnidentifiedPerson,UP100176,,,,M,Hispanic / Latino,,,,2010-06-14,Ramirez,Duval,TEXAS,,,,,,,,ME/C Case 12-1042SC,06/16/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100177,UnidentifiedPerson,UP100177,,,,F,Hispanic / Latino,,,,2014-01-14,Yturria,Kenedy,TEXAS,,,,,,,,ME/C Case 14-0118SC,07/01/2023,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP10018,UnidentifiedPerson,UP10018,,,,U,White / Caucasian,22.0,45.0,,2006-11-05,Rural,Taos,NEW MEXICO,,,,,,,,ME/C Case 2006-05278,06/30/2025,unidentified_sex_unsure_download_09-10-2025.15_08_58.csv
UP_UP100182,UnidentifiedPerson,UP100182,,,,U,Uncertain,,,,2022-12-10,Waimānalo,Honolulu,HAWAII,,,,,,,,ME/C Case 2022-3384,04/04/2024,unidentified_sex_unsure_download_09-10-2025.15_08_58.csv
UP_UP1002,UnidentifiedPerson,UP1002,,,,M,Black / African American,0.0,0.0,,2006-11-11,Fontana,San Bernardino,CALIFORNIA,,,,,,,,ME/C Case 06-8703,10/03/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100200,UnidentifiedPerson,UP100200,,,,M,Hispanic / Latino,20.0,40.0,,2023-01-27,Dateland,Maricopa,ARIZONA,,,,,,,,ME/C Case 23-00954,06/24/2025,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10023,UnidentifiedPerson,UP10023,,,,M,"White / Caucasian, Hispanic / Latino",65.0,99.0,,2011-04-15,Los Angeles,Los Angeles,CALIFORNIA,,,,,,,,ME/C Case 2011-07869,08/30/2024,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10024,UnidentifiedPerson,UP10024,,,,U,Uncertain,18.0,99.0,,2012-01-11,Palmdale,Los Angeles,CALIFORNIA,,,,,,,,ME/C Case 2012-00277,06/04/2022,unidentified_sex_unsure_download_09-10-2025.15_08_58.csv
UP_UP100243,UnidentifiedPerson,UP100243,,,,M,White / Caucasian,27.0,49.0,,2022-11-03,Jacksonville,Duval,FLORIDA,,,,,,,,ME/C Case 22-02665,12/24/2024,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10025,UnidentifiedPerson,UP10025,,,,M,White / Caucasian,34.0,86.0,,2012-01-16,Lakeview Terrace,Los Angeles,CALIFORNIA,,,,,,,,ME/C Case 2012-00372,06/01/2022,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10026,UnidentifiedPerson,UP10026,,,,F,White / Caucasian,35.0,50.0,,1950-05-10,Bath(Berkeley Springs),Morgan,WEST VIRGINIA,,,,,,,,ME/C Case 06-10419,08/27/2025,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100266,UnidentifiedPerson,UP100266,,,,M,White / Caucasian,18.0,50.0,,2019-06-09,Daviston,Franklin,ALABAMA,,,,,,,,ME/C Case SO19060037,01/16/2024,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10028,UnidentifiedPerson,UP10028,,,,M,Hispanic / Latino,18.0,70.0,,2011-11-11,Eloy,Pinal,ARIZONA,,,,,,,,ME/C Case ML11-02244,08/23/2024,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100284,UnidentifiedPerson,UP100284,,,,M,Hispanic / Latino,,,,2002-10-06,Freer,Duval,TEXAS,,,,,,,,ME/C Case 02-1200SC,02/19/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10029,UnidentifiedPerson,UP10029,,,,F,Other,32.0,42.0,,1995-09-22,Meridianville,Madison,ALABAMA,,,,,,,,ME/C Case 092295049,10/17/2022,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100298,UnidentifiedPerson,UP100298,,,,M,Hispanic / Latino,,,,2018-05-10,Sarita,Kenedy,TEXAS,,,,,,,,ME/C Case 18-0973SC,02/17/2023,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP1003,UnidentifiedPerson,UP1003,,,,M,White / Caucasian,44.0,78.0,,2005-11-05,Big Bear,San Bernardino,CALIFORNIA,,,,,,,,ME/C Case 05-7954,10/03/2023,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10031,UnidentifiedPerson,UP10031,,,,M,Hispanic / Latino,20.0,99.0,,2011-09-23,Tucson,Pima,ARIZONA,,,,,,,,ME/C Case ML11-01859,08/21/2019,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10032,UnidentifiedPerson,UP10032,,,,M,Hispanic / Latino,20.0,99.0,,2011-10-10,Casa Grande,Pinal,ARIZONA,,,,,,,,ME/C Case ML11-02020,01/24/2020,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100328,UnidentifiedPerson,UP100328,,,,F,White / Caucasian,18.0,25.0,,1981-02-06,Lacey Township,Ocean,NEW JERSEY,,,,,,,,ME/C Case 15-819014,05/16/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100341,UnidentifiedPerson,UP100341,,,,F,"Asian, Hawaiian / Pacific Islander",,,,1989-07-06,Thebes,Alexander,ILLINOIS,,,,,,,,ME/C Case 7-6-89-33,01/19/2024,unidentified_female_download_09-10-2025.13_53_43.csv
UP_UP100342,UnidentifiedPerson,UP100342,,,,M,White / Caucasian,19.0,99.0,,2011-05-13,Goodsprings,Clark,NEVADA,,,,,,,,ME/C Case 11-04328,09/10/2025,unidentified_male_white_download_09-10-2025.13_54_12.csv
UP_UP10041,UnidentifiedPerson,UP10041,,,,M,Black / African American,25.0,40.0,,2011-11-05,Rayne,Acadia,LOUISIANA,,,,,,,,ME/C Case LSU 11-39 ; 200918,10/26/2018,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP100426,UnidentifiedPerson,UP100426,,,,M,Uncertain,,,,2022-07-14,Las Vegas,Clark,NEVADA,,,,,,,,ME/C Case 22-04291,09/10/2025,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10043,UnidentifiedPerson,UP10043,,,,M,Uncertain,18.0,99.0,,2011-07-14,Laredo,Webb,TEXAS,,,,,,,,ME/C Case M.E.11-372,08/09/2012,unidentified_male_other_download_09-10-2025.13_55_31.csv
UP_UP10044,UnidentifiedPerson,UP10044,,,,M,"White / Caucasian, Hispanic / Latino",30.0,50.0,,2011-10-19,Webb County,Webb,TEXAS,,,,,,,,ME/C Case M.E.11-568,09/14/2012,unidentified_male_white_download_09-10-2025.13_54_12.csv
