"Case","ME/C Case","DBF","Age From","Age To","City","County","State","Biological Sex","Race / Ethnicity","Date Modified"
"UP153127","ME/C Case B25-34920",11/25/2025,50,60,"Bronx","Bronx","New York","Male","Hispanic / Latino",12/08/2025
"UP152557","ME/C Case ME25-12275/B25-4898",11/12/2025,,,"Fayetteville","Cumberland","North Carolina","Male","Black / African American",12/10/2025
"UP152828","ME/C Case M25-33247",11/09/2025,40,70,"Manhattan","New York","New York","Male","Black / African American",12/01/2025
"UP152553","ME/C Case ME25-12078/B25-4850",11/06/2025,,,"Greensboro","Guilford","North Carolina","Male","Black / African American",12/10/2025
"UP152809","ME/C Case K25-32903",11/05/2025,30,50,"Brooklyn","Kings","New York","Male","Asian",12/09/2025
"UP151739","ME/C Case ML25-4110",10/26/2025,,,"Houston","Harris","Texas","Male","White / Caucasian, Hispanic / Latino",12/02/2025
"UP151749","ME/C Case B25-30975",10/17/2025,50,80,"Bronx","Bronx","New York","Male","Hispanic / Latino",11/18/2025
"UP151346","ME/C Case K25-30244",10/10/2025,40,70,"Brooklyn","Kings","New York","Male","Black / African American",11/18/2025
"UP151536","ME/C Case ML25-3896",10/08/2025,,,"Houston","Harris","Texas","Male","Black / African American",11/14/2025
"UP151878","ME/C Case 2025-06769",10/05/2025,,,"North Las Vegas","Clark","Nevada","Male","White / Caucasian, Hispanic / Latino, American Indian / Alaska Native",12/11/2025
"UP150826","ME/C Case 25-3327",09/28/2025,40,70,"Nashville","Davidson","Tennessee","Male","White / Caucasian, Uncertain",12/09/2025
"UP152255","ME/C Case 25-12254",09/27/2025,,,"Wyandotte","Wayne","Michigan","Male","Uncertain",12/05/2025
"UP151807","ME/C Case 2025-15022",09/22/2025,55,65,"Los Angeles","Los Angeles","California","Male","Black / African American",12/02/2025
"UP150478","ME/C Case ML25-3635",09/17/2025,,,"Houston","Harris","Texas","Male","Asian",12/04/2025
"UP152237","ME/C Case 25-11746",09/15/2025,,,"Detroit","Wayne","Michigan","Male","Black / African American",12/05/2025
"UP150023","ME/C Case 25-4248",09/08/2025,20,35,"Philadelphia","Philadelphia","Pennsylvania","Male","White / Caucasian, Black / African American",11/23/2025
"UP151608","ME/C Case 250908-1009",09/08/2025,50,110,"Portland","Multnomah","Oregon","Male","Black / African American",11/21/2025
"UP150612","ME/C Case Q25-26642",09/04/2025,40,60,"Queens","Queens","New York","Male","Black / African American, Hispanic / Latino, Uncertain",11/20/2025
"UP150072","ME/C Case 2025-01789",08/24/2025,,,"Anchorage","Anchorage","Alaska","Male","Uncertain",09/25/2025
"UP150983","ME/C Case 16-25-0711",08/24/2025,,,"Paterson","Passaic","New Jersey","Male","Uncertain",12/10/2025
"UP151155","ME/C Case Q25-25472",08/24/2025,25,35,"Queens","Queens","New York","Male","Hispanic / Latino",11/13/2025
"UP150996","ME/C Case ML25-3324",08/23/2025,35,60,"Houston","Harris","Texas","Male","Uncertain",12/05/2025
"UP152108","ME/C Case IFS-25-13253",08/19/2025,,,"Dallas","Dallas","Texas","Male","Black / African American",12/09/2025
"UP150988","ME/C Case MC25-2653",08/17/2025,,,"Indianapolis","Marion","Indiana","Male","Uncertain",11/17/2025
"UP150142","ME/C Case 25-2789",08/12/2025,23,57,"SE of Vamori","Pima","Arizona","Male","Uncertain",12/09/2025
"UP149750","ME/C Case 2025-12893",08/09/2025,45,55,"Los Angeles","Los Angeles","California","Male","Hispanic / Latino",09/18/2025
"UP149137","ME/C Case 250809-45",08/08/2025,34,35,"Hillsboro","Washington","Oregon","Male","Hispanic / Latino",11/26/2025
"UP150492","ME/C Case M25-25192",08/07/2025,60,70,"Manhattan","New York","New York","Male","Asian",09/29/2025
"UP149752","ME/C Case 2025-1388",08/06/2025,30,65,"Castle Rock","Douglas","Colorado","Male","White / Caucasian, Hispanic / Latino",09/27/2025
"UP148794","ME/C Case Q25-22945",07/30/2025,40,60,"Queens","Queens","New York","Male","Hispanic / Latino",08/13/2025
"UP152117","ME/C Case 25-09711",07/29/2025,,,"Detroit","Wayne","Michigan","Male","Black / African American",12/05/2025
"UP150426","ME/C Case 2025-05521",07/28/2025,,,"Santa Teresa","Doña Ana","New Mexico","Male","Hispanic / Latino, American Indian / Alaska Native",11/03/2025
"UP149435","ME/C Case 25-01324",07/25/2025,,,"Lathrop","San Joaquin","California","Male","Hispanic / Latino, Asian, Other",11/18/2025
"UP148478","ME/C Case 25-08279",07/24/2025,27,37,"Mesa","Maricopa","Arizona","Male","Black / African American, Hispanic / Latino",10/27/2025
"UP148785","ME/C Case 2025-05390",07/23/2025,,,"Santa Teresa","Doña Ana","New Mexico","Male","Hispanic / Latino, Uncertain",12/09/2025
"UP149503","ME/C Case R25-22270",07/23/2025,40,60,"Staten Island","Richmond","New York","Male","Uncertain",10/08/2025
"UP148788","ME/C Case 2025-05391",07/23/2025,14,20,"Santa Teresa","Doña Ana","New Mexico","Male","Hispanic / Latino, Uncertain",12/10/2025
"UP148343","ME/C Case 2025-11691",07/21/2025,25,50,"Commerce","Los Angeles","California","Male","Black / African American",08/11/2025
"UP148774","ME/C Case 25-1273",07/18/2025,31,65,"Atlanta","DeKalb","Georgia","Male","White / Caucasian, Uncertain",09/16/2025
"UP147931","ME/C Case K25-21158",07/12/2025,15,22,"Brooklyn","Kings","New York","Male","Hispanic / Latino, Uncertain",12/11/2025
"UP148070","ME/C Case ME2025-03761",07/12/2025,40,60,"Chicago","Cook","Illinois","Male","Hispanic / Latino, Asian, American Indian / Alaska Native",11/24/2025
"UP149143","ME/C Case 25-09336",07/11/2025,20,40,"Silver Spring","Montgomery","Maryland","Male","Hispanic / Latino",09/18/2025
"UP147713","ME/C Case ML25-2708",07/10/2025,,,"Houston","Harris","Texas","Male","Black / African American",09/08/2025
"UP148468","ME/C Case ICF-2025-04977",07/09/2025,,,"Sabana Grande","All","Puerto Rico","Male","Uncertain",11/17/2025
"UP153049","ME/C Case 2025-9948",07/08/2025,,,"Medford","Middlesex","Massachusetts","Male","Uncertain",12/08/2025
"UP151085","ME/C Case ICF-2025-04941",07/07/2025,,,"Ponce","All","Puerto Rico","Male","Uncertain",11/17/2025
"UP151180","ME/C Case 2025-0878",06/27/2025,,,"San Francisco","San Francisco","California","Male","Uncertain",11/25/2025
"UP147917","ME/C Case K25-19531",06/26/2025,20,35,"Brooklyn","Kings","New York","Male","Hispanic / Latino",09/15/2025
"UP149040","ME/C Case 2025-1468",06/24/2025,70,80,"San Antonio","Bexar","Texas","Male","White / Caucasian, Hispanic / Latino",09/10/2025
"UP146341","ME/C Case LC-25-2074",06/20/2025,,,"Ephrata","Lancaster","Pennsylvania","Male","Uncertain",11/11/2025
"UP147930","ME/C Case 250617-1104",06/17/2025,,,"Bellingham","Whatcom","Washington","Male","White / Caucasian, Asian",07/21/2025
"UP149039","ME/C Case 2025-1402",06/16/2025,50,75,"San Antonio","Bexar","Texas","Male","Black / African American, Hispanic / Latino, Asian",08/13/2025
"UP146124","ME/C Case 2025-09818",06/15/2025,55,79,"Los Angeles","Los Angeles","California","Male","Hispanic / Latino",11/19/2025
"UP146585","ME/C Case 250615-44",06/15/2025,31,57,"Estacada","Clackamas","Oregon","Male","Uncertain",07/09/2025
"UP152595","ME/C Case 25-2014",06/09/2025,,,"Lukeville","Pima","Arizona","Male","Hispanic / Latino, American Indian / Alaska Native",12/09/2025
"UP147024","ME/C Case 25-06428",06/09/2025,24,50,"Gila Bend","Maricopa","Arizona","Male","Hispanic / Latino, Other",07/21/2025
"UP152026","ME/C Case N2025-01046",06/08/2025,78,78,"Alexandria","Alexandria","Virginia","Male","White / Caucasian, Hispanic / Latino",11/24/2025
