"Case","ME/C Case","DBF","Age From","Age To","City","County","State","Biological Sex","Race / Ethnicity","Date Modified"
"UP153129","ME/C Case M25-33191",11/08/2025,,,"Manhattan","New York","New York","Male","White / Caucasian",12/12/2025
"UP151739","ME/C Case ML25-4110",10/26/2025,,,"Houston","Harris","Texas","Male","White / Caucasian, Hispanic / Latino",12/02/2025
"UP151698","ME/C Case 25-4773",10/13/2025,45,60,"Philadelphia","Philadelphia","Pennsylvania","Male","White / Caucasian",11/13/2025
"UP151878","ME/C Case 2025-06769",10/05/2025,,,"North Las Vegas","Clark","Nevada","Male","White / Caucasian, Hispanic / Latino, American Indian / Alaska Native",12/11/2025
"UP150826","ME/C Case 25-3327",09/28/2025,40,70,"Nashville","Davidson","Tennessee","Male","White / Caucasian, Uncertain",12/09/2025
"UP150023","ME/C Case 25-4248",09/08/2025,20,35,"Philadelphia","Philadelphia","Pennsylvania","Male","White / Caucasian, Black / African American",11/23/2025
"UP150149","ME/C Case ML25-3447",09/01/2025,40,50,"Houston","Harris","Texas","Male","White / Caucasian",10/10/2025
"UP153009","ME/C Case 25-01291",08/18/2025,,,"Jupiter","Palm Beach","Florida","Male","White / Caucasian",12/04/2025
"UP149401","ME/C Case 2025-1048",08/14/2025,,,"Lansdowne","Delaware","Pennsylvania","Male","White / Caucasian",08/23/2025
"UP149752","ME/C Case 2025-1388",08/06/2025,30,65,"Castle Rock","Douglas","Colorado","Male","White / Caucasian, Hispanic / Latino",09/27/2025
"UP149839","ME/C Case M25-01372",07/25/2025,,,"St. Petersburg","Pinellas","Florida","Male","White / Caucasian",09/05/2025
"UP152682","ME/C Case ICF-2025-05266",07/19/2025,,,"San Juan","All","Puerto Rico","Male","White / Caucasian",12/09/2025
"UP148774","ME/C Case 25-1273",07/18/2025,31,65,"Atlanta","DeKalb","Georgia","Male","White / Caucasian, Uncertain",09/16/2025
"UP149295","ME/C Case 25-3232",06/30/2025,65,85,"Philadelphia","Philadelphia","Pennsylvania","Male","White / Caucasian",11/05/2025
"UP149548","ME/C Case ME25-0705",06/30/2025,,,"Stephensport","Breckinridge","Kentucky","Male","White / Caucasian",09/15/2025
"UP149040","ME/C Case 2025-1468",06/24/2025,70,80,"San Antonio","Bexar","Texas","Male","White / Caucasian, Hispanic / Latino",09/10/2025
"UP152028","ME/C Case W2025-00862",06/23/2025,34,34,"Bluefield","Tazewell","Virginia","Male","White / Caucasian",11/24/2025
"UP147930","ME/C Case 250617-1104",06/17/2025,,,"Bellingham","Whatcom","Washington","Male","White / Caucasian, Asian",07/21/2025
"UP152026","ME/C Case N2025-01046",06/08/2025,78,78,"Alexandria","Alexandria","Virginia","Male","White / Caucasian, Hispanic / Latino",11/24/2025
"UP149049","ME/C Case CC2025-00352",06/06/2025,,,"Pipersville","Bucks","Pennsylvania","Male","White / Caucasian",08/20/2025
"UP147014","ME/C Case 2025-10109",06/02/2025,25,45,"Los Angeles","Los Angeles","California","Male","White / Caucasian, Hispanic / Latino, Uncertain",08/04/2025
"UP146068","ME/C Case 250603-124",05/31/2025,30,60,,"Wasco","Oregon","Male","White / Caucasian",07/09/2025
"UP150203","ME/C Case 25-2346",05/29/2025,75,75,"Greenville","Greenville","South Carolina","Male","White / Caucasian",09/22/2025
"UP148173","ME/C Case 2025-1653",05/23/2025,,,"St Paul","Ramsey","Minnesota","Male","White / Caucasian",10/07/2025
"UP148495","ME/C Case 2025-1153",05/22/2025,36,48,"San Antonio","Bexar","Texas","Male","White / Caucasian, Hispanic / Latino",09/29/2025
"UP150098","ME/C Case 2025-182",05/17/2025,,,"Lithia Springs","Douglas","Georgia","Male","White / Caucasian",09/17/2025
"UP150905","ME/C Case 25-05-0104",05/13/2025,30,45,"Fresno","Fresno","California","Male","White / Caucasian, Black / African American, Uncertain",11/20/2025
"UP144534","ME/C Case 25-05252",05/08/2025,37,72,"Phoenix","Maricopa","Arizona","Male","White / Caucasian, Hispanic / Latino",06/05/2025
"UP148024","ME/C Case A25-231",04/28/2025,37,83,"Claremont","Sullivan","New Hampshire","Male","White / Caucasian, Hispanic / Latino, Asian, Uncertain",09/30/2025
"UP150989","ME/C Case MEC25-0306",04/12/2025,37,72,"Morehead","Rowan","Kentucky","Male","White / Caucasian",11/17/2025
"UP152013","ME/C Case ME25-0342",03/22/2025,,,"Louisville","Jefferson","Kentucky","Male","White / Caucasian",12/05/2025
"UP146378","ME/C Case 202500736",03/04/2025,40,60,"Daniel","Wasatch","Utah","Male","White / Caucasian",06/30/2025
"UP146696","ME/C Case 2025-01607",02/25/2025,15,36,"Tres Piedras","Taos","New Mexico","Male","White / Caucasian, Hispanic / Latino",09/23/2025
"UP149422","ME/C Case 25-00379",02/15/2025,40,87,"Jacksonville","Duval","Florida","Male","White / Caucasian",09/17/2025
"UP142022","ME/C Case 25-01989",02/12/2025,57,70,"Peoria","Maricopa","Arizona","Male","White / Caucasian",12/02/2025
"UP138513","ME/C Case 25G-0339",02/10/2025,,,"Lawrenceville","Gwinnett","Georgia","Male","White / Caucasian",10/30/2025
"UP138883","ME/C Case 2025-01132",02/06/2025,35,71,"Lordsburg","Hidalgo","New Mexico","Male","White / Caucasian, Hispanic / Latino, Asian",09/23/2025
"UP138539","ME/C Case M25-04189",02/02/2025,30,50,"Manhattan","New York","New York","Male","White / Caucasian",10/23/2025
"UP138984","ME/C Case 2025-0287",01/31/2025,57,70,"San Antonio","Bexar","Texas","Male","White / Caucasian, Hispanic / Latino",02/24/2025
"UP142245","ME/C Case 25-00248",01/31/2025,,,"Jacksonville","Duval","Florida","Male","White / Caucasian",10/14/2025
"UP139160","ME/C Case 250124-738",01/24/2025,35,50,"Harriman","Roane","Tennessee","Male","White / Caucasian",12/03/2025
"UP139166","ME/C Case 25-0319",01/21/2025,30,65,"Tucson","Pima","Arizona","Male","White / Caucasian, Uncertain",07/14/2025
"UP148276","ME/C Case 25-00159",01/16/2025,24,69,"Washington D.C.","District of Columbia","District of Columbia","Male","White / Caucasian, Hispanic / Latino",08/05/2025
"UP136468","ME/C Case ML25-0149",01/10/2025,,,"Houston","Harris","Texas","Male","White / Caucasian, Hispanic / Latino, Uncertain",12/11/2025
"UP136464","ME/C Case ML25-0093",01/06/2025,,,"Houston","Harris","Texas","Male","White / Caucasian, Uncertain",12/11/2025
"UP144221","ME/C Case 07-24-2491",12/29/2024,,,"Newark","Essex","New Jersey","Male","White / Caucasian, Hispanic / Latino",06/02/2025
"UP140606","ME/C Case 24-5277",12/27/2024,50,70,"Wheat Ridge","Jefferson","Colorado","Male","White / Caucasian",08/28/2025
"UP142420","ME/C Case 24-4454",12/21/2024,,,"Ajo","Pima","Arizona","Male","White / Caucasian, Hispanic / Latino",09/02/2025
"UP140181","ME/C Case M24-02534",12/13/2024,40,80,"Tierra Verde","Pinellas","Florida","Male","White / Caucasian",12/02/2025
"UP136125","ME/C Case 2024-19458",12/12/2024,45,75,"Compton","Los Angeles","California","Male","White / Caucasian, Hispanic / Latino",04/02/2025
"UP149790","ME/C Case 1798-24",12/11/2024,,,"Eureka Springs","Carroll","Arkansas","Male","White / Caucasian",09/25/2025
"UP149533","ME/C Case B24-7313",11/29/2024,25,35,"Charlotte","Mecklenburg","North Carolina","Male","White / Caucasian, Hispanic / Latino",09/12/2025
"UP135192","ME/C Case 2024-08101",11/26/2024,,,"Boulder City","Clark","Nevada","Male","White / Caucasian, Hispanic / Latino, Asian",12/23/2024
"UP134667","ME/C Case 241127-491-SCC",11/25/2024,45,70,"East St. Louis","St. Clair","Illinois","Male","White / Caucasian",02/19/2025
